North American Industry Classification System (NAICS),Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24
"Furniture, home furnishings, electronics and appliances retailers  [449]","2,984,130","2,975,400","3,105,370","3,148,827","3,195,025","3,154,562","3,178,561","3,192,599","3,126,467","3,105,741","3,093,407","3,217,516","3,164,946","3,161,896","2,646,978","2,036,353","2,513,757","3,327,697","3,457,543","3,395,281","3,578,761","3,653,377","3,751,115","3,543,199","3,170,322","3,561,666","3,740,955","3,341,665","3,274,710","3,585,423","3,734,319","3,605,503","3,604,985","3,721,033","3,637,554","3,475,652","3,771,506","3,702,477","3,715,254","3,775,326","3,733,968","3,740,297","3,608,524","3,615,614","3,656,866","3,593,714","3,563,348","3,743,828","3,645,824","3,741,610","3,718,400","3,621,544","3,589,623","3,591,597","3,643,758","3,645,377","3,638,893","3,638,738","3,717,065","3,627,171","3,693,958","3,651,060","3,586,324","3,625,550","3,561,334","3,543,123","3,600,428","3,564,884","3,584,382","3,611,546","3,605,621","3,607,873"
"Furniture, floor covering, window treatment and other home furnishings retailers  [4491]","1,651,520","1,662,579","1,698,095","1,710,236","1,737,056","1,713,065","1,744,608","1,737,310","1,698,081","1,690,826","1,667,566","1,743,215","1,735,822","1,777,855","1,290,948","720,131","1,085,015","1,794,220","1,852,584","1,776,174","1,922,451","2,015,658","2,030,072","1,922,664","1,593,824","1,916,985","2,073,849","1,727,270","1,676,599","1,995,466","2,121,185","2,013,575","2,019,278","2,113,507","2,049,272","1,898,275","2,123,075","2,056,321","2,076,145","2,071,309","2,048,396","2,050,886","1,972,627","2,001,864","2,036,954","1,991,930","1,968,254","1,975,919","1,952,203","1,988,821","1,957,459","1,913,619","1,865,862","1,884,709","1,900,159","1,886,346","1,895,960","1,878,540","1,932,962","1,870,106","1,886,749","1,892,058","1,844,375","1,852,672","1,845,866","1,817,741","1,874,674","1,836,799","1,883,003","1,882,391","1,901,062","1,891,282"
Furniture retailers  [44911],"1,034,890","1,039,363","1,048,541","1,065,976","1,093,754","1,067,728","1,094,733","1,076,119","1,065,580","1,060,957","1,040,462","1,119,299","1,115,603","1,145,442","829,313","433,739","726,785","1,209,328","1,202,407","1,117,747","1,227,206","1,318,622","1,278,344","1,198,869","963,813","1,202,109","1,343,165","1,083,151","1,110,053","1,275,482","1,374,267","1,286,308","1,292,625","1,330,701","1,303,141","1,246,687","1,356,150","1,293,680","1,315,747","1,303,622","1,293,456","1,281,686","1,240,284","1,256,237","1,242,909","1,255,280","1,245,145","1,253,945","1,210,927","1,238,570","1,215,246","1,193,748","1,150,344","1,184,826","1,202,838","1,185,696","1,192,234","1,180,567","1,196,754","1,183,264","1,211,608","1,201,949","1,184,175","1,160,513","1,136,090","1,120,530","1,162,892","1,136,181","1,151,023","1,167,747","1,173,718","1,179,075"
"Floor covering, window treatment and other home furnishing retailers  [44912]","616,630","623,216","649,554","644,260","643,302","645,337","649,875","661,191","632,502","629,869","627,104","623,917","620,219","632,413","461,635","286,392","358,230","584,892","650,177","658,427","695,245","697,036","751,728","723,795","630,010","714,877","730,684","644,119","566,545","719,984","746,918","727,267","726,653","782,806","746,131","651,588","766,926","762,641","760,398","767,687","754,940","769,200","732,343","745,627","794,045","736,650","723,110","721,975","741,276","750,251","742,213","719,871","715,518","699,882","697,321","700,651","703,726","697,973","736,208","686,842","675,140","690,109","660,199","692,160","709,776","697,212","711,783","700,619","731,980","714,644","727,345","712,207"
Electronics and appliances retailers  [4492],"1,332,610","1,312,822","1,407,275","1,438,591","1,457,969","1,441,497","1,433,953","1,455,289","1,428,386","1,414,915","1,425,842","1,474,300","1,429,124","1,384,041","1,356,030","1,316,222","1,428,742","1,533,477","1,604,959","1,619,107","1,656,310","1,637,719","1,721,043","1,620,535","1,576,499","1,644,680","1,667,107","1,614,395","1,598,111","1,589,958","1,613,134","1,591,927","1,585,707","1,607,525","1,588,283","1,577,376","1,648,430","1,646,156","1,639,109","1,704,017","1,685,573","1,689,411","1,635,898","1,613,750","1,619,913","1,601,784","1,595,094","1,767,909","1,693,621","1,752,789","1,760,941","1,707,925","1,723,760","1,706,888","1,743,599","1,759,030","1,742,933","1,760,198","1,784,103","1,757,066","1,807,209","1,759,002","1,741,950","1,772,878","1,715,468","1,725,382","1,725,754","1,728,085","1,701,380","1,729,155","1,704,559","1,716,591"
General merchandise retailers  [455],"6,200,521","6,313,733","6,229,491","6,293,383","6,226,129","6,376,186","6,337,062","6,362,482","6,398,671","6,436,061","6,465,972","6,571,443","6,535,528","6,769,434","6,746,137","5,831,508","6,959,722","7,199,279","7,134,891","7,035,841","7,292,775","7,187,786","7,342,999","6,853,061","6,936,396","7,604,630","7,673,942","6,691,182","6,810,646","7,560,328","7,570,975","7,673,427","7,711,775","7,919,744","8,019,939","7,816,678","8,059,377","8,099,812","8,129,825","8,205,177","8,409,079","8,691,934","8,582,484","8,492,700","8,523,755","8,513,472","8,556,034","8,650,034","8,601,303","8,354,974","8,534,445","8,741,690","8,666,462","8,565,360","8,701,210","8,739,320","8,771,605","8,894,025","8,751,596","8,982,080","9,020,265","9,066,978","9,004,896","9,018,609","8,948,666","8,946,060","9,005,171","9,009,911","9,073,418","9,062,508","8,966,242","9,255,189"
Health and personal care retailers  [456],"4,203,768","4,209,501","4,210,812","4,198,540","4,233,984","4,108,395","4,272,141","4,236,593","4,241,861","4,175,780","4,002,933","4,251,031","4,247,637","4,306,833","4,391,247","3,652,095","3,948,254","4,306,918","4,339,283","4,321,832","4,455,625","4,353,838","4,385,188","4,634,585","4,640,048","4,653,812","4,675,441","4,415,056","4,430,608","4,529,525","4,518,213","4,603,344","4,595,208","4,622,271","4,646,831","4,652,386","4,735,278","4,713,233","4,787,458","4,843,192","4,938,264","5,016,813","5,021,821","5,022,262","5,068,167","5,084,707","5,122,599","5,216,782","5,216,878","5,279,261","5,286,235","5,329,359","5,342,932","5,327,443","5,374,954","5,441,158","5,458,177","5,559,673","5,594,413","5,538,708","5,573,403","5,590,370","5,552,563","5,631,162","5,602,309","5,587,689","5,627,020","5,614,173","5,675,724","5,721,004","5,743,723","5,795,680"
Gasoline stations and fuel vendors  [457],"5,456,270","5,416,350","5,652,673","5,765,136","5,898,558","5,649,868","5,713,470","5,668,098","5,634,654","5,703,686","5,787,754","5,831,518","5,846,213","5,624,506","4,519,570","2,950,366","3,602,472","4,613,679","4,833,723","4,819,924","4,820,623","4,709,861","4,555,458","4,644,393","4,758,102","5,354,494","5,603,882","5,503,325","5,456,375","5,726,374","5,885,769","6,066,355","6,078,174","6,127,584","6,378,472","6,306,610","6,285,655","6,903,425","7,586,897","7,832,922","8,650,189","8,892,044","7,592,993","7,339,466","6,995,953","7,484,780","7,443,416","6,944,389","7,002,089","6,694,374","6,497,214","6,514,118","6,404,681","6,476,239","6,365,044","6,601,508","6,800,581","6,492,533","6,497,859","6,509,250","6,589,538","6,426,592","6,359,865","6,646,929","6,603,251","6,532,874","6,459,132","6,277,454","6,153,815","6,152,924","6,211,115","6,470,157"
"Clothing, clothing accessories, shoes, jewelry, luggage and leather goods retailers  [458]","3,067,967","3,057,200","3,149,967","3,061,871","3,027,135","3,135,602","3,082,882","3,121,214","3,112,982","3,126,744","3,107,823","3,154,450","3,130,917","3,062,350","1,568,209","582,595","1,073,988","2,450,491","2,666,455","2,778,042","2,836,271","2,812,985","2,746,529","2,279,599","1,975,052","2,428,559","2,964,245","2,065,560","1,885,277","2,854,458","3,202,691","3,284,812","3,218,730","3,245,638","3,302,289","3,100,402","2,948,147","3,311,052","3,379,175","3,326,763","3,396,799","3,477,957","3,372,211","3,408,203","3,495,552","3,439,076","3,441,786","3,440,255","3,485,139","3,539,827","3,505,910","3,575,793","3,497,702","3,451,840","3,509,922","3,478,417","3,432,353","3,508,051","3,577,196","3,512,248","3,478,999","3,445,331","3,393,339","3,478,807","3,446,009","3,494,263","3,558,708","3,586,769","3,590,819","3,633,770","3,635,420","3,747,096"
Clothing and clothing accessories retailers  [4581],"2,406,567","2,360,678","2,434,471","2,399,915","2,362,985","2,457,782","2,426,405","2,432,885","2,439,337","2,434,195","2,430,157","2,451,602","2,418,686","2,387,584","1,215,534","422,862","825,543","1,902,568","2,030,592","2,133,424","2,183,972","2,176,607","2,122,322","1,695,325","1,474,376","1,836,254","2,268,400","1,559,687","1,420,730","2,252,160","2,463,792","2,524,145","2,470,939","2,527,691","2,568,985","2,365,924","2,249,931","2,582,774","2,624,727","2,575,202","2,658,104","2,688,291","2,639,957","2,649,315","2,702,273","2,665,774","2,668,289","2,650,357","2,703,407","2,729,684","2,712,472","2,751,489","2,701,055","2,655,312","2,680,499","2,672,744","2,661,838","2,685,647","2,749,338","2,682,515","2,655,575","2,653,770","2,631,787","2,699,316","2,677,683","2,718,587","2,755,906","2,761,552","2,776,744","2,800,985","2,810,444","2,891,524"
Shoe retailers  [4582],"357,743","357,441","376,703","337,035","328,529","355,119","344,250","362,374","352,133","349,640","350,216","358,981","337,429","339,815","167,587","81,661","142,197","328,987","321,061","313,306","324,293","301,568","281,628","265,184","199,978","252,970","346,563","228,753","218,971","311,390","351,017","352,861","347,912","343,704","335,313","336,797","293,255","328,417","349,236","343,583","376,668","382,256","340,183","373,417","392,462","385,805","398,004","409,395","416,843","408,954","394,985","423,686","404,738","406,867","423,625","411,107","395,192","426,277","421,764","419,420","412,528","399,390","390,129","397,263","395,030","390,777","399,284","430,506","405,010","408,521","413,005","435,921"
"Jewellery, luggage and leather goods retailers  [4583]","303,657","339,082","338,794","324,920","335,621","322,701","312,227","325,954","321,512","342,909","327,450","343,866","374,802","334,950","185,089","78,072","106,247","218,936","314,802","331,312","328,006","334,811","342,579","319,090","300,698","339,334","349,282","277,120","245,575","290,908","387,883","407,806","399,879","374,243","397,991","397,681","404,961","399,861","405,212","407,977","362,027","407,410","392,070","385,470","400,816","387,497","375,493","380,504","364,889","401,189","398,453","400,618","391,909","389,662","405,797","394,566","375,323","396,128","406,094","410,313","410,896","392,171","371,423","382,229","373,296","384,898","403,518","394,712","409,065","424,264","411,971","419,650"
"Sporting goods, hobby, musical instrument, book, and miscellaneous retailers  [459]","2,817,776","2,791,811","2,788,680","2,830,720","2,828,212","2,886,007","2,892,336","2,929,231","2,944,359","2,880,229","2,882,798","3,050,571","3,000,818","3,022,543","2,694,248","1,877,781","2,530,370","3,221,800","3,200,817","3,231,732","3,293,597","3,356,450","3,540,286","3,241,133","2,913,423","3,514,358","3,564,601","3,272,987","3,156,024","3,552,347","3,538,638","3,629,979","3,588,329","3,683,301","3,710,920","3,562,839","3,627,793","3,743,588","3,804,159","4,015,180","3,900,741","3,958,795","3,909,283","3,907,350","3,969,800","3,900,657","3,879,230","3,947,194","3,942,742","3,866,596","3,897,607","3,885,743","3,942,559","3,854,666","3,863,528","3,808,703","3,733,148","3,752,764","3,739,407","3,703,360","3,719,627","3,696,730","3,636,660","3,767,597","3,720,126","3,680,485","3,704,659","3,731,439","3,775,422","3,822,373","3,817,694","3,900,828"
"Sporting goods, hobby, musical instrument, book retailers and news dealers  [459A] 3","1,178,997","1,162,898","1,117,834","1,156,066","1,131,023","1,142,457","1,134,819","1,169,485","1,197,552","1,118,701","1,126,443","1,155,687","1,144,088","1,191,220","899,989","517,960","867,967","1,336,915","1,252,954","1,214,404","1,231,061","1,292,836","1,408,924","1,112,435","979,099","1,287,770","1,376,276","1,096,591","1,111,020","1,361,495","1,345,291","1,260,660","1,320,976","1,372,555","1,383,233","1,244,484","1,279,809","1,363,388","1,379,797","1,391,391","1,404,519","1,408,223","1,384,109","1,432,882","1,434,918","1,399,488","1,383,872","1,418,986","1,438,809","1,397,278","1,377,085","1,390,570","1,382,148","1,362,750","1,381,833","1,371,538","1,360,635","1,363,946","1,366,819","1,323,031","1,340,031","1,342,377","1,341,968","1,336,223","1,353,251","1,340,100","1,327,366","1,307,020","1,341,569","1,331,901","1,314,639","1,362,499"
Miscellaneous retailers  [459B] 3,"1,638,780","1,628,913","1,670,847","1,674,654","1,697,189","1,743,550","1,757,517","1,759,746","1,746,806","1,761,528","1,756,355","1,894,884","1,856,730","1,831,323","1,794,258","1,359,821","1,662,403","1,884,885","1,947,863","2,017,328","2,062,535","2,063,614","2,131,362","2,128,698","1,934,324","2,226,588","2,188,325","2,176,397","2,045,004","2,190,852","2,193,347","2,369,319","2,267,353","2,310,747","2,327,687","2,318,355","2,347,984","2,380,200","2,424,362","2,623,789","2,496,222","2,550,572","2,525,174","2,474,468","2,534,882","2,501,168","2,495,358","2,528,208","2,503,933","2,469,318","2,520,522","2,495,173","2,560,411","2,491,916","2,481,695","2,437,165","2,372,513","2,388,818","2,372,588","2,380,329","2,379,596","2,354,353","2,294,692","2,431,374","2,366,875","2,340,384","2,377,293","2,424,419","2,433,853","2,490,472","2,503,055","2,538,329"
Cannabis retailers  [459993] 4,"55,449","52,080","60,762","74,626","85,933","91,676","106,044","125,930","122,902","129,952","136,746","147,852","160,716","180,266","185,073","184,469","189,059","205,438","220,827","230,618","245,729","259,748","263,305","287,970","286,870","294,553","302,689","302,188","315,998","310,572","321,709","329,865","336,241","345,945","345,843","342,292","356,908","361,050","364,207","379,413","376,417","380,674","377,393","369,386","380,851","379,660","382,036","412,038","409,885","410,738","420,665","422,207","428,038","435,833","440,960","446,998","437,852","438,555","437,485","433,315","416,000","422,819","414,009","417,779","420,876","432,600","435,495","449,790","443,107","445,458","461,186","474,245"
